Model,Accuracy,F1,ROC_AUC
LogisticRegression,0.8369565217391305,0.8598130841121495,0.910948012232416
RandomForest,0.875,0.8930232558139535,0.9453211009174312
SVM,0.8695652173913043,0.8888888888888888,0.9143730886850153
DecisionTree,0.7771739130434783,0.7960199004975125,0.7869724770642201
KNN,0.8586956521739131,0.8773584905660378,0.9166972477064219
